key_tempo;invoice_date;Ano;Mes;Dia;Trimestre
f430d715815e24d28f2bc730e30c7fe69a4d884b6bd4cfe4e5cce837e7d3de28;2017-10-04;2017;10;4;4
bde2c1f7fb0a3f56850181bed47ddb1e62098d05404346504782a639e2b79b04;2017-02-05;2017;2;5;1
57ca45b98cf34b364bd00ff21afeada544392c3048c7afee94472ca5d6c37d5c;2017-10-22;2017;10;22;4
f3fcd011e3070197d7204e25dd9d009f8222e7dbc4385f13a9ba15632fb5db97;2017-04-06;2017;4;6;2
5f73b524c4c2cc6b90de7fb914cd59359d9bac048bdf9440d3a92b62e549e7b7;2018-12-03;2018;12;3;4
90395866b4df9f7fa428445fb19e6e85b30a2d0d8bdabd40fc4cb3b783ff8130;2018-10-27;2018;10;27;4
683e0de9849d6c468bf5058606067762c69fbd4ccf406649a68dc4b2de034e7f;2017-02-12;2017;2;12;1
53a815ac5f0fa603076fa4332808363c6a1900abab5a7aa8b4ace890ed723a5b;2017-09-09;2017;9;9;3
bcc6d6debc767a45081f51fe8839a54cb920b9ffaac918e33e2f0912b66cf992;2018-04-18;2018;4;18;2
92dddeeb7f9e305fb9d6cf06febed28e2d4534b17d491ebe9d378a7d45b3494c;2019-01-28;2019;1;28;1
5289d716f8e3a3886930dfb4eafa8d37c82acf5f72bf501213bb77f33eb5baac;2018-09-19;2018;9;19;3
1dc0bcffc06825500246f23d8b0691e4551e990f34984b165c4e7e64904fed96;2018-06-09;2018;6;9;2
af3f8818bc04401fb85ec6d14dab5a1eb15aab99854d75f8cec13358b8bf9f70;2018-02-06;2018;2;6;1
1d05ce0b15056002ab02bf97f99aa1a985c142e55c3919cd4c5761a99a66522e;2018-04-17;2018;4;17;2
c01fad05355c2bff70002594e4b83287f8f91aac550cbacaa850f1c047040941;2018-04-29;2018;4;29;2
908ca10ced62e5789daf8241234ec2675ea7301c10cfa48ca0f1adaa06499944;2017-02-23;2017;2;23;1
679553f74260131ee141371acc6957d4256c5488c8899480fd4cf8d5c0266b41;2019-01-17;2019;1;17;1
45c141851eba179fc1f3ea46a7f9c1251dd6f1de6d417fb8dae496bef1d50983;2017-03-09;2017;3;9;1
03ded022f637bbad8ed3b7b78cbd31143b606fa3c33af44232f77fc460d9fcdc;2017-12-01;2017;12;1;4
f42ffb3af14624395139308aae4c860ac757a3666a87488117bb40f551bd1665;2017-10-13;2017;10;13;4
ad7de205f6a2b32094298414f5dba802c36e638335ceb89ac0d4c73859dffc14;2018-03-04;2018;3;4;1
7eba9c194fc996748b468221703751aaf18848a8ec905964d53d6fef5797e547;2018-01-25;2018;1;25;1
